Date,Amount,Category,Description
2025-01-01,220.0,Food,Breakfast at cafe
2025-01-01,70.0,Transport,Bus to office
2025-01-02,320.0,Food,Grocery shopping
2025-01-02,150.0,Entertainment,Mobile game purchase
2025-01-03,900.0,Utilities,Electricity bill
2025-01-03,60.0,Transport,Auto to home
2025-01-04,450.0,Food,Lunch with friends
2025-01-04,300.0,Entertainment,Movie ticket
2025-01-05,1200.0,Utilities,Internet bill
2025-01-05,40.0,Transport,Metro ticket
2025-01-06,180.0,Food,Snacks from bakery
2025-01-06,700.0,Entertainment,Concert pass
2025-01-07,160.0,Transport,Fuel refill
2025-01-07,250.0,Food,Dinner at restaurant
2025-01-08,500.0,Utilities,Water bill
2025-01-08,90.0,Food,Tea & snacks
2025-01-09,140.0,Transport,Auto to market
2025-01-09,260.0,Food,Grocery items
2025-01-10,800.0,Entertainment,OTT subscription
2025-01-10,200.0,Food,Pizza order
2025-01-11,75.0,Transport,Bike parking fee
2025-01-11,350.0,Food,Lunch outside
2025-01-12,1300.0,Utilities,Gas cylinder refill
2025-01-12,100.0,Food,Juice and snacks
2025-01-13,280.0,Entertainment,Premium app purchase
2025-01-13,50.0,Transport,Cab pooling
2025-01-14,420.0,Food,Grocery vegetables
2025-01-14,170.0,Transport,Auto fare
2025-01-15,950.0,Utilities,Electricity recharge
2025-01-15,150.0,Food,Bakery breakfast
2025-01-16,600.0,Entertainment,Event ticket
2025-01-16,200.0,Food,Coffee and sandwich
2025-01-17,180.0,Transport,Metro top-up
2025-01-17,300.0,Food,Lunch at office canteen
2025-01-18,1200.0,Utilities,DTH recharge
2025-01-18,260.0,Food,Grocery essentials
2025-01-19,450.0,Entertainment,Cinema snacks
2025-01-19,40.0,Transport,Bike stand fee
2025-01-20,220.0,Food,Evening snacks
2025-01-20,85.0,Transport,Bus pass renewal
2025-01-21,650.0,Utilities,Mobile recharge
2025-01-21,320.0,Food,Dinner outside
2025-01-22,500.0,Entertainment,Outdoor activity
2025-01-22,150.0,Food,Street food
2025-01-23,70.0,Transport,Shared auto
2025-01-23,330.0,Food,Weekly groceries
2025-01-24,1100.0,Utilities,Internet plan upgrade
2025-01-24,160.0,Food,Breakfast and tea
2025-01-25,850.0,Entertainment,Theme park ticket
2025-01-25,200.0,Food,Snacks at mall
2003-07-23,560000.0,2,3
